"Bucket Index","Bucket X","Actual Y","Normalized Y","Count","Percentage",
"0","0.020641","0.020639","0.000327","33","0.000330",
"1","0.052296","0.052272","0.000827","79","0.000790",
"2","0.083951","0.083853","0.001327","158","0.001580",
"3","0.115607","0.115349","0.001826","186","0.001860",
"4","0.147262","0.146730","0.002322","251","0.002510",
"5","0.178917","0.177964","0.002817","269","0.002690",
"6","0.210573","0.209020","0.003308","346","0.003460",
"7","0.242228","0.239866","0.003796","389","0.003890",
"8","0.273883","0.270472","0.004281","387","0.003870",
"9","0.305539","0.300807","0.004761","466","0.004660",
"10","0.337194","0.330840","0.005236","508","0.005080",
"11","0.368849","0.360542","0.005706","579","0.005790",
"12","0.400505","0.389883","0.006171","616","0.006160",
"13","0.432160","0.418833","0.006629","670","0.006700",
"14","0.463815","0.447364","0.007080","730","0.007300",
"15","0.495471","0.475446","0.007525","666","0.006660",
"16","0.527126","0.503052","0.007962","812","0.008120",
"17","0.558782","0.530153","0.008391","752","0.007520",
"18","0.590437","0.556724","0.008811","903","0.009030",
"19","0.622092","0.582737","0.009223","935","0.009350",
"20","0.653748","0.608166","0.009626","933","0.009330",
"21","0.685403","0.632985","0.010018","1047","0.010470",
"22","0.717058","0.657170","0.010401","1018","0.010180",
"23","0.748714","0.680697","0.010773","1121","0.011210",
"24","0.780369","0.703542","0.011135","1114","0.011140",
"25","0.812024","0.725681","0.011485","1143","0.011430",
"26","0.843680","0.747094","0.011824","1150","0.011500",
"27","0.875335","0.767758","0.012151","1258","0.012580",
"28","0.906990","0.787653","0.012466","1150","0.011500",
"29","0.938646","0.806759","0.012769","1214","0.012140",
"30","0.970301","0.825056","0.013058","1236","0.012360",
"31","1.001956","0.842526","0.013335","1286","0.012860",
"32","1.033612","0.859153","0.013598","1307","0.013070",
"33","1.065267","0.874918","0.013847","1305","0.013050",
"34","1.096923","0.889807","0.014083","1367","0.013670",
"35","1.128578","0.903804","0.014305","1345","0.013450",
"36","1.160233","0.916896","0.014512","1398","0.013980",
"37","1.191889","0.929069","0.014705","1351","0.013510",
"38","1.223544","0.940311","0.014882","1437","0.014370",
"39","1.255199","0.950611","0.015045","1396","0.013960",
"40","1.286855","0.959959","0.015193","1492","0.014920",
"41","1.318510","0.968344","0.015326","1508","0.015080",
"42","1.350165","0.975760","0.015443","1485","0.014850",
"43","1.381821","0.982197","0.015545","1429","0.014290",
"44","1.413476","0.987651","0.015632","1499","0.014990",
"45","1.445131","0.992115","0.015702","1582","0.015820",
"46","1.476787","0.995584","0.015757","1561","0.015610",
"47","1.508442","0.998057","0.015796","1588","0.015880",
"48","1.540097","0.999529","0.015820","1576","0.015760",
"49","1.571753","1.000000","0.015827","1527","0.015270",
"50","1.603408","0.999468","0.015819","1518","0.015180",
"51","1.635064","0.997936","0.015794","1502","0.015020",
"52","1.666719","0.995403","0.015754","1556","0.015560",
"53","1.698374","0.991873","0.015699","1602","0.016020",
"54","1.730029","0.987349","0.015627","1583","0.015830",
"55","1.761685","0.981836","0.015540","1549","0.015490",
"56","1.793340","0.975339","0.015437","1523","0.015230",
"57","1.824996","0.967865","0.015319","1548","0.015480",
"58","1.856651","0.959421","0.015185","1491","0.014910",
"59","1.888306","0.950016","0.015036","1529","0.015290",
"60","1.919962","0.939659","0.014872","1405","0.014050",
"61","1.951617","0.928360","0.014693","1458","0.014580",
"62","1.983272","0.916131","0.014500","1473","0.014730",
"63","2.014928","0.902984","0.014292","1425","0.014250",
"64","2.046583","0.888933","0.014069","1370","0.013700",
"65","2.078238","0.873990","0.013833","1431","0.014310",
"66","2.109894","0.858172","0.013582","1417","0.014170",
"67","2.141549","0.841494","0.013318","1322","0.013220",
"68","2.173205","0.823973","0.013041","1294","0.012940",
"69","2.204860","0.805627","0.012751","1285","0.012850",
"70","2.236515","0.786473","0.012448","1264","0.012640",
"71","2.268171","0.766531","0.012132","1257","0.012570",
"72","2.299826","0.745821","0.011804","1170","0.011700",
"73","2.331481","0.724364","0.011465","1116","0.011160",
"74","2.363137","0.702181","0.011114","1143","0.011430",
"75","2.394792","0.679294","0.010751","1134","0.011340",
"76","2.426447","0.655727","0.010378","1005","0.010050",
"77","2.458103","0.631503","0.009995","988","0.009880",
"78","2.489758","0.606646","0.009601","931","0.009310",
"79","2.521414","0.581181","0.009198","979","0.009790",
"80","2.553069","0.555134","0.008786","976","0.009760",
"81","2.584724","0.528530","0.008365","826","0.008260",
"82","2.616379","0.501397","0.007936","875","0.008750",
"83","2.648035","0.473762","0.007498","883","0.008830",
"84","2.679690","0.445652","0.007053","782","0.007820",
"85","2.711346","0.417095","0.006601","767","0.007670",
"86","2.743001","0.388121","0.006143","662","0.006620",
"87","2.774656","0.358757","0.005678","602","0.006020",
"88","2.806312","0.329035","0.005208","552","0.005520",
"89","2.837967","0.298982","0.004732","519","0.005190",
"90","2.869622","0.268630","0.004252","491","0.004910",
"91","2.901278","0.238008","0.003767","476","0.004760",
"92","2.932933","0.207149","0.003279","417","0.004170",
"93","2.964588","0.176081","0.002787","344","0.003440",
"94","2.996244","0.144838","0.002292","322","0.003220",
"95","3.027899","0.113449","0.001796","229","0.002290",
"96","3.059555","0.081946","0.001297","187","0.001870",
"97","3.091210","0.050361","0.000797","159","0.001590",
"98","3.122865","0.018726","0.000296","72","0.000720",
"99","3.154521","0.000000","0.000000","33","0.000330",
