"index","x","y","expected value"
"0","0.500000","0.479426","0.479426"
"1","0.615418","0.577300","0.528363"
"2","0.767628","0.694430","0.583719"
"3","0.952099","0.814634","0.641448"
"4","1.090665","0.886934","0.690545"
"5","1.094537","0.888716","0.723573"
"6","1.236409","0.944611","0.755150"
"7","1.152548","0.913802","0.774982"
"8","1.094088","0.888510","0.787596"
"9","1.205411","0.933986","0.802235"
"10","1.131315","0.904973","0.811575"
"11","1.160659","0.917066","0.820366"
"12","1.209501","0.935440","0.829218"
"13","1.010555","0.847127","0.830497"
"14","1.139226","0.908310","0.835684"
"15","1.055152","0.869975","0.837828"
"16","0.963840","0.821388","0.836861"
"17","0.851763","0.752443","0.832171"
"18","0.893534","0.779291","0.829387"
"19","0.796846","0.715155","0.823676"
"20","1.002731","0.842943","0.824593"
"21","1.079823","0.881874","0.827197"
"22","0.976160","0.828352","0.827247"
"23","1.017650","0.850876","0.828232"
"24","1.132099","0.905306","0.831315"
"25","1.075570","0.879861","0.833182"
"26","1.213772","0.936941","0.837025"
"27","1.182397","0.925516","0.840185"
"28","1.115675","0.898208","0.842186"
"29","1.011045","0.847387","0.842359"
"30","0.967242","0.823324","0.841745"
"31","1.048045","0.866449","0.842517"
"32","1.103345","0.892720","0.844038"
"33","1.220267","0.939191","0.846837"
"34","1.347669","0.975210","0.850505"
"35","1.416510","0.988122","0.854328"
"36","1.212116","0.936361","0.856545"
"37","1.173579","0.922141","0.858271"
"38","1.280086","0.958041","0.860829"
"39","1.372758","0.980454","0.863820"
"40","1.490016","0.996739","0.867062"
"41","1.474977","0.995413","0.870118"
"42","1.402513","0.985874","0.872810"
"43","1.381799","0.982193","0.875296"
"44","1.334622","0.972240","0.877450"
"45","1.560797","0.999950","0.880113"
"46","1.614130","0.999061","0.882644"
"47","1.720488","0.988817","0.884856"
"48","1.820035","0.969100","0.886575"
"49","1.873767","0.954454","0.887933"
"50","1.730361","0.987297","0.889881"
"51","1.739070","0.985875","0.891727"
"52","1.802051","0.973380","0.893268"
"53","1.731174","0.987167","0.895007"
"54","1.683773","0.993625","0.896800"
"55","1.583112","0.999924","0.898641"
"56","1.538255","0.999471","0.900410"
"57","1.573259","0.999997","0.902127"
"58","1.552072","0.999825","0.903783"
"59","1.472466","0.995170","0.905306"
"60","1.337418","0.972891","0.906414"
"61","1.316004","0.967716","0.907403"
"62","1.529210","0.999135","0.908859"
"63","1.442323","0.991759","0.910154"
"64","1.510793","0.998200","0.911509"
"65","1.468177","0.994739","0.912770"
"66","1.397566","0.985033","0.913848"
"67","1.466149","0.994529","0.915035"
"68","1.544369","0.999651","0.916261"
"69","1.537018","0.999430","0.917449"
"70","1.546893","0.999714","0.918608"
"71","1.478588","0.995752","0.919679"
"72","1.548089","0.999742","0.920776"
"73","1.400863","0.985596","0.921652"
"74","1.563398","0.999973","0.922696"
"75","1.590091","0.999814","0.923711"
"76","1.509619","0.998129","0.924677"
"77","1.502720","0.997684","0.925613"
"78","1.650208","0.996849","0.926515"
"79","1.711386","0.990134","0.927310"
"80","1.545579","0.999682","0.928204"
"81","1.489676","0.996711","0.929039"
"82","1.268517","0.954660","0.929348"
"83","1.333846","0.972058","0.929856"
"84","1.324720","0.969876","0.930327"
"85","1.290959","0.961100","0.930685"
"86","1.197613","0.931171","0.930691"
"87","1.259110","0.951818","0.930931"
"88","1.219402","0.938894","0.931020"
"89","1.427804","0.989794","0.931673"
"90","1.404435","0.986194","0.932272"
"91","1.379805","0.981817","0.932811"
"92","1.232448","0.943304","0.932924"
"93","1.208841","0.935206","0.932948"
"94","1.148670","0.912220","0.932730"
"95","1.159632","0.916656","0.932562"
"96","1.096260","0.889505","0.932118"
"97","0.945888","0.811017","0.930883"
"98","0.909277","0.789060","0.929450"
"99","0.906723","0.787488","0.928031"
"100","0.873825","0.766789","0.926434"
"101","0.787589","0.708654","0.924299"
"102","0.800176","0.717479","0.922291"
"103","0.927787","0.800295","0.921118"
"104","0.871902","0.765554","0.919636"
"105","0.774712","0.699511","0.917560"
"106","0.739219","0.673711","0.915281"
"107","0.681095","0.629644","0.912636"
"108","0.810845","0.724869","0.910913"
"109","0.784782","0.706671","0.909057"
"110","0.850967","0.751919","0.907641"
"111","0.802670","0.719214","0.905959"
"112","0.771444","0.697172","0.904111"
"113","0.928771","0.800885","0.903205"
"114","1.031692","0.858169","0.902814"
"115","1.095760","0.889276","0.902697"
"116","1.291023","0.961118","0.903196"
"117","1.457147","0.993549","0.903962"
"118","1.549233","0.999768","0.904767"
"119","1.699600","0.991716","0.905492"
"120","1.589025","0.999834","0.906271"
"121","1.492669","0.996950","0.907015"
"122","1.511006","0.998213","0.907756"
"123","1.554446","0.999866","0.908499"
"124","1.542214","0.999592","0.909228"
"125","1.543684","0.999632","0.909945"
"126","1.555983","0.999890","0.910654"
"127","1.509347","0.998113","0.911337"
"128","1.708874","0.990482","0.911950"
"129","1.815102","0.970306","0.912399"
"130","1.784894","0.977168","0.912894"
"131","1.579028","0.999966","0.913553"
"132","1.807248","0.972175","0.913994"
"133","1.823441","0.968255","0.914399"
"134","1.872533","0.954822","0.914698"
"135","2.082993","0.871670","0.914382"
"136","2.019734","0.900909","0.914284"
"137","2.044770","0.889762","0.914106"
"138","2.095123","0.865661","0.913758"
"139","2.320176","0.732112","0.912460"
"140","2.205642","0.805163","0.911699"
"141","2.147101","0.838482","0.911184"
"142","2.144435","0.839932","0.910685"
"143","2.104225","0.861068","0.910341"
"144","2.108643","0.858814","0.909985"
"145","2.075022","0.875549","0.909750"
"146","2.150354","0.836705","0.909253"
"147","2.108029","0.859128","0.908914"
"148","2.141763","0.841379","0.908461"
"149","2.197427","0.810008","0.907804"
"150","2.206884","0.804426","0.907120"
